"","PLAYER.NAME","SOLD.PRICE","PLAYING.ROLE","WKTS"
"2","Abdur Razzak",50000,"Bowler",0
"5","Badrinath, S",800000,"Batsman",0
"6","Bailey, GJ",50000,"Batsman",0
"10","Boucher, MV",450000,"W. Keeper",0
"12","Chanderpaul, S",200000,"Batsman",0
"14","de Villiers, AB",300000,"W. Keeper",0
"16","Dhoni, MS",1500000,"W. Keeper",0
"19","Dravid, RS",500000,"Batsman",0
"23","Fleming, SP",350000,"Batsman",0
"25","Gambhir, G",725000,"Batsman",0
"28","Gibbs, HH",575000,"Batsman",0
"29","Gilchrist, AC",700000,"W. Keeper",0
"33","Hayden, ML",375000,"Batsman",0
"39","Hussey, MEK",250000,"Batsman",0
"41","Jaffer, W",150000,"Allrounder",0
"43","Jayawardena, DPMD",475000,"Batsman",0
"44","Kaif, M",675000,"Batsman",0
"46","Kamran Akmal",150000,"W. Keeper",0
"48","Karthik, KD",525000,"W. Keeper",0
"50","Katich, SM",200000,"Batsman",0
"55","Laxman, VVS",375000,"Batsman",0
"61","McCullum, BB",700000,"W. Keeper",0
"64","Misbah-ul-Haq",100000,"Batsman",0
"76","Ojha, NV",270000,"W. Keeper",0
"81","Patel, PA",325000,"W. Keeper",0
"86","Pomersbach, LA",50000,"Batsman",0
"87","Ponting, RT",400000,"Batsman",0
"91","Saha, WP",100000,"W. Keeper",0
"92","Sangakkara, KC",700000,"W. Keeper",0
"93","Sarwan, RR",225000,"Batsman",0
"101","Silva, LPC",100000,"Batsman",0
"104","Smith, GC",250000,"Batsman",0
"110","Taibu, T",125000,"W. Keeper",0
"111","Taylor, LRPL",1000000,"Batsman",0
"112","Tendulkar, SR",1800000,"Batsman",0
"114","Tiwary, SS",1600000,"Batsman",0
"117","Uthappa, RV",800000,"Batsman",0
"124","Warner, DA",750000,"Batsman",0
"125","White, CL",500000,"Batsman",0
"126","Yadav, AS",750000,"Batsman",0
"127","Younis Khan",225000,"Batsman",0
